shipment_id,stop_id,racks,spaces,time spent,% of distance covered_x,name,lat,lon,distance to dest,distance,% of journey covered,% of distance covered_y,time spent in stop 1,Distance in miles,Red Zone ?
sensitech-AE57679,13,13,13,28.81666667,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,28.81666667,169.0,Yes
sensitech-AE57687,13,13,13,21.7,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,21.7,169.0,Yes
sensitech-AE58928,13,13,13,24.9,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,24.9,169.0,Yes
sensitech-AE58929,13,13,13,39.16666667,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,39.16666667,169.0,Yes
sensitech-AE58941,13,13,13,33.35,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,33.35,169.0,Yes
sensitech-AE5976,13,13,13,29.03333333,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,29.03333333,169.0,Yes
sensitech-AE5983,13,13,13,31.51666667,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,31.51666667,169.0,Yes
sensitech-AE62415,13,13,13,24.86666667,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,24.86666667,169.0,Yes
sensitech-AE66515,13,13,13,24.96666667,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,24.96666667,169.0,Yes
sensitech-AE66522,13,13,13,30.01666667,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,30.01666667,169.0,Yes
sensitech-AE66527,13,13,13,30.48333333,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,30.48333333,169.0,Yes
sensitech-AE66531,13,13,13,24.9,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,24.9,169.0,Yes
sensitech-AE66533,13,13,13,41.03333333,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,41.03333333,169.0,Yes
sensitech-AE68590,13,13,13,39.98333333,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,39.98333333,169.0,Yes
sensitech-AE68594,13,13,13,30.0,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,30.0,169.0,Yes
sensitech-AE68606,13,13,13,24.43333333,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,24.43333333,169.0,Yes
sensitech-AE70729,13,13,13,28.38333333,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,28.38333333,169.0,Yes
sensitech-AE73513,13,13,13,44.95,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,44.95,169.0,Yes
sensitech-AE74933,13,13,13,25.0,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,25.0,169.0,Yes
sensitech-AE7548,13,13,13,26.36666667,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,26.36666667,169.0,Yes
sensitech-AE7549,13,13,13,34.6,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,34.6,169.0,Yes
sensitech-AE25839,39,39,39,70.35,43.92557202,"2320 Highway 46 South, Dickson, TN 37055",36.0229177,-87.3429377,249.47237230000002,162.0853608,43.92557202,44.08566631,70.35,163.0,Yes
sensitech-AE41725,39,39,39,68.38333333,43.92557202,"2320 Highway 46 South, Dickson, TN 37055",36.0229177,-87.3429377,249.47237230000002,162.0853608,43.92557202,44.08566631,68.38333333,163.0,Yes
sensitech-AE66507,39,39,39,39.16666667,43.92557202,"2320 Highway 46 South, Dickson, TN 37055",36.0229177,-87.3429377,249.47237230000002,162.0853608,43.92557202,44.08566631,39.16666667,163.0,Yes
sensitech-AE68603,39,39,39,25.83333333,43.92557202,"2320 Highway 46 South, Dickson, TN 37055",36.0229177,-87.3429377,249.47237230000002,162.0853608,43.92557202,44.08566631,25.83333333,163.0,Yes
sensitech-AE73498,39,39,39,31.0,43.92557202,"2320 Highway 46 South, Dickson, TN 37055",36.0229177,-87.3429377,249.47237230000002,162.0853608,43.92557202,44.08566631,31.0,163.0,Yes
sensitech-AE31322,40,40,40,32.56666667,53.43238670000001,"13781 Highway 641 North I-40/Hwy69 Rt1 Box 300, Holladay, TN 38341",35.838023,-88.0880487,180.79864980000002,197.16550690000003,53.43238670000001,53.62713021,32.56666667,198.0,Yes
sensitech-AE38048,40,40,40,39.91666667,53.43238670000001,"13781 Highway 641 North I-40/Hwy69 Rt1 Box 300, Holladay, TN 38341",35.838023,-88.0880487,180.79864980000002,197.16550690000003,53.43238670000001,53.62713021,39.91666667,198.0,Yes
