shipment_id,stop_id,time spent,max,min,lon,lat,% of distance covered_x,address,name,type,count,lon,lat,distance to dest,distance,% of journey covered,% of distance covered_y,time spent in stop 1,Distance in miles,Red Zone ?
sensitech-AE58929,13,39.16666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,39.16666667,169,Yes
sensitech-AE58941,13,33.35,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,33.35,169,Yes
sensitech-AE5976,13,29.03333333,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,29.03333333,169,Yes
sensitech-AE5983,13,31.51666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,31.51666667,169,Yes
sensitech-AE62415,13,24.86666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,24.86666667,169,Yes
sensitech-AE66515,13,24.96666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,24.96666667,169,Yes
sensitech-AE66522,13,30.01666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,30.01666667,169,Yes
sensitech-AE66527,13,30.48333333,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,30.48333333,169,Yes
sensitech-AE66531,13,24.9,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,24.9,169,Yes
sensitech-AE66533,13,41.03333333,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,41.03333333,169,Yes
sensitech-AE68590,13,39.98333333,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,39.98333333,169,Yes
sensitech-AE68594,13,30,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,30,169,Yes
sensitech-AE68606,13,24.43333333,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,24.43333333,169,Yes
sensitech-AE70729,13,28.38333333,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,28.38333333,169,Yes
sensitech-AE73513,13,44.95,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,44.95,169,Yes
sensitech-AE74933,13,25,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,25,169,Yes
sensitech-AE7548,13,26.36666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,26.36666667,169,Yes
sensitech-AE7549,13,34.6,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,34.6,169,Yes
sensitech-AE25839,39,70.35,70.4,25.8,-87.3429377,36.0229177,43.92557202,"2320 Highway 46 South, Dickson, TN 37055","Pilot and Flying J's travel center, South, Dickson, TN","Gas station, Food/ Convenience store",5,-87.3429377,36.0229177,249.4723723,162.0853608,43.92557202,44.08566631,70.35,163,Yes
sensitech-AE41725,39,68.38333333,70.4,25.8,-87.3429377,36.0229177,43.92557202,"2320 Highway 46 South, Dickson, TN 37055","Pilot and Flying J's travel center, South, Dickson, TN","Gas station, Food/ Convenience store",5,-87.3429377,36.0229177,249.4723723,162.0853608,43.92557202,44.08566631,68.38333333,163,Yes
sensitech-AE66507,39,39.16666667,70.4,25.8,-87.3429377,36.0229177,43.92557202,"2320 Highway 46 South, Dickson, TN 37055","Pilot and Flying J's travel center, South, Dickson, TN","Gas station, Food/ Convenience store",5,-87.3429377,36.0229177,249.4723723,162.0853608,43.92557202,44.08566631,39.16666667,163,Yes
sensitech-AE68603,39,25.83333333,70.4,25.8,-87.3429377,36.0229177,43.92557202,"2320 Highway 46 South, Dickson, TN 37055","Pilot and Flying J's travel center, South, Dickson, TN","Gas station, Food/ Convenience store",5,-87.3429377,36.0229177,249.4723723,162.0853608,43.92557202,44.08566631,25.83333333,163,Yes
sensitech-AE73498,39,31,70.4,25.8,-87.3429377,36.0229177,43.92557202,"2320 Highway 46 South, Dickson, TN 37055","Pilot and Flying J's travel center, South, Dickson, TN","Gas station, Food/ Convenience store",5,-87.3429377,36.0229177,249.4723723,162.0853608,43.92557202,44.08566631,31,163,Yes
sensitech-AE31322,40,32.56666667,39.9,32.6,-88.0880487,35.838023,53.4323867,"13781 Highway 641 North I-40/Hwy69 Rt1 Box 300, Holladay, TN 38341",Shell Gas Station,Gas station,2,-88.0880487,35.838023,180.7986498,197.1655069,53.4323867,53.62713021,32.56666667,198,Yes
sensitech-AE38048,40,39.91666667,39.9,32.6,-88.0880487,35.838023,53.4323867,"13781 Highway 641 North I-40/Hwy69 Rt1 Box 300, Holladay, TN 38341",Shell Gas Station,Gas station,2,-88.0880487,35.838023,180.7986498,197.1655069,53.4323867,53.62713021,39.91666667,198,Yes
